file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,161,css,bb90600f,AndresRiera,2025-01-31,09:41:36,-08:00,2025-01-31T09:41:36-08:00,0,0
style.css,162,css,bb90600f,AndresRiera,2025-01-31,09:41:36,-08:00,2025-01-31T09:41:36-08:00,0,18
style.css,163,css,bb90600f,AndresRiera,2025-01-31,09:41:36,-08:00,2025-01-31T09:41:36-08:00,0,17
style.css,164,css,bb90600f,AndresRiera,2025-01-31,09:41:36,-08:00,2025-01-31T09:41:36-08:00,0,11
style.css,165,css,bb90600f,AndresRiera,2025-01-31,09:41:36,-08:00,2025-01-31T09:41:36-08:00,0,0
style.css,166,css,bb90600f,AndresRiera,2025-01-31,09:41:36,-08:00,2025-01-31T09:41:36-08:00,0,0
style.css,167,css,bb90600f,AndresRiera,2025-01-31,09:41:36,-08:00,2025-01-31T09:41:36-08:00,0,18
style.css,168,css,bb90600f,AndresRiera,2025-01-31,09:41:36,-08:00,2025-01-31T09:41:36-08:00,0,9
style.css,169,css,bb90600f,AndresRiera,2025-01-31,09:41:36,-08:00,2025-01-31T09:41:36-08:00,0,11
style.css,170,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,0
style.css,171,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,0
style.css,172,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,17
style.css,173,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,74
style.css,174,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,16
style.css,175,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,0
style.css,176,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,0
style.css,177,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,14
style.css,178,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,14
style.css,179,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,11
style.css,180,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,16
style.css,181,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,67
style.css,182,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,67
style.css,183,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,0
style.css,184,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,0
style.css,185,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,14
style.css,186,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,17
style.css,187,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,11
style.css,188,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,35
style.css,189,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,15
style.css,190,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,12
style.css,191,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,0
style.css,192,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,0
style.css,193,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,15
style.css,194,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,15
style.css,195,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,17
style.css,196,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,0
style.css,197,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,17
style.css,198,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,0
style.css,199,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,0
style.css,200,css,45339adc,AndresRiera,2025-02-07,14:27:36,-08:00,2025-02-07T14:27:36-08:00,0,7
style.css,201,css,45339adc,AndresRiera,2025-02-07,14:27:36,-08:00,2025-02-07T14:27:36-08:00,0,13
style.css,202,css,45339adc,AndresRiera,2025-02-07,14:27:36,-08:00,2025-02-07T14:27:36-08:00,0,15
style.css,203,css,45339adc,AndresRiera,2025-02-07,14:27:36,-08:00,2025-02-07T14:27:36-08:00,0,9
style.css,204,css,45339adc,AndresRiera,2025-02-07,14:27:36,-08:00,2025-02-07T14:27:36-08:00,0,18
style.css,205,css,45339adc,AndresRiera,2025-02-07,14:27:36,-08:00,2025-02-07T14:27:36-08:00,0,22
style.css,206,css,45339adc,AndresRiera,2025-02-07,14:27:36,-08:00,2025-02-07T14:27:36-08:00,0,13
style.css,207,css,45339adc,AndresRiera,2025-02-07,14:27:36,-08:00,2025-02-07T14:27:36-08:00,0,22
style.css,208,css,45339adc,AndresRiera,2025-02-07,14:27:36,-08:00,2025-02-07T14:27:36-08:00,0,23
style.css,209,css,45339adc,AndresRiera,2025-02-07,14:27:36,-08:00,2025-02-07T14:27:36-08:00,0,14
style.css,210,css,45339adc,AndresRiera,2025-02-07,14:27:36,-08:00,2025-02-07T14:27:36-08:00,0,0
style.css,211,css,45339adc,AndresRiera,2025-02-07,14:27:36,-08:00,2025-02-07T14:27:36-08:00,0,0
style.css,212,css,45339adc,AndresRiera,2025-02-07,14:27:36,-08:00,2025-02-07T14:27:36-08:00,0,12
style.css,213,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,13
style.css,214,css,ab9c7f66,AndresRiera,2025-02-07,12:14:40,-08:00,2025-02-07T12:14:40-08:00,0,19
style.css,215,css,45339adc,AndresRiera,2025-02-07,14:27:36,-08:00,2025-02-07T14:27:36-08:00,0,8
style.css,216,css,45339adc,AndresRiera,2025-02-07,14:27:36,-08:00,2025-02-07T14:27:36-08:00,0,12
